date,day_idx,promo_flag,campaign_id,channel,spend,impressions,clicks,attributed_sessions,attributed_orders,attributed_revenue,attributed_margin,cac_proxy,cpc,ctr,cvr,roas,week
2025-07-04,0,1,C001,search,26312.21,100619,2173,140.0,3.0,33189.38,13599.740000000002,8770.736666666666,12.108702254947078,0.021596318786710263,0.02142857142857143,1.261368011276894,2025-06-30
2025-07-04,0,1,C002,search,21647.84,87070,3103,140.0,4.0,19446.16,7777.1900000000005,5411.96,6.976422816629069,0.03563799241989204,0.02857142857142857,0.8982956267230356,2025-06-30
2025-07-04,0,1,C003,search,22354.06,92590,1931,140.0,9.0,62381.270000000004,27625.03,2483.7844444444445,11.57641636457794,0.020855383950750622,0.06428571428571428,2.7906013493745654,2025-06-30
2025-07-04,0,1,C004,search,26270.94,112017,3485,140.0,7.0,37755.14,14978.210000000001,3752.9914285714285,7.53828981348637,0.031111349170215234,0.05,1.437144616827567,2025-06-30
2025-07-04,0,1,C005,search,22875.24,88620,2460,140.0,3.0,29191.16,13204.91,7625.080000000001,9.29887804878049,0.027758970886932972,0.02142857142857143,1.276102895532462,2025-06-30
2025-07-04,0,1,C006,search,27508.7,129011,2721,140.0,5.0,25933.5,9807.36,5501.74,10.109775817714077,0.021091224779282387,0.03571428571428571,0.9427381155779807,2025-06-30
2025-07-04,0,1,C007,search,21624.88,98425,3779,140.0,7.0,47519.0,18058.36,3089.2685714285717,5.722381582429215,0.038394716789433576,0.05,2.197422598414419,2025-06-30
2025-07-04,0,1,C008,search,19663.84,75399,2210,140.0,5.0,20028.54,8255.6,3932.768,8.89766515837104,0.029310733564105625,0.03571428571428571,1.0185467334966112,2025-06-30
2025-07-04,0,1,C009,paid_social,22482.26,101822,1725,140.0,5.0,23886.44,9846.11,4496.451999999999,13.03319420289855,0.016941328985877316,0.03571428571428571,1.0624572440671,2025-06-30
2025-07-04,0,1,C010,paid_social,25994.98,156358,2858,140.0,2.0,11634.59,5053.7699999999995,12997.49,9.09551434569629,0.01827856585528083,0.014285714285714285,0.4475706463324842,2025-06-30
2025-07-04,0,1,C011,paid_social,22820.7,128630,2162,140.0,5.0,25417.8,7937.560000000001,4564.14,10.555365402405181,0.016807898623960194,0.03571428571428571,1.1138045721647452,2025-06-30
2025-07-04,0,1,C012,paid_social,23728.79,121898,1271,108.0,4.0,24552.9,10543.9,5932.1975,18.669386309992134,0.010426750233802032,0.037037037037037035,1.0347303844823104,2025-06-30
2025-07-04,0,1,C013,paid_social,15889.01,92102,1970,140.0,6.0,49983.89,18435.66,2648.1683333333335,8.06548730964467,0.02138932922194958,0.04285714285714286,3.1458152521774485,2025-06-30
2025-07-04,0,1,C014,paid_social,16972.71,84148,1256,88.0,2.0,10464.189999999999,4094.7599999999993,8486.355,13.513304140127389,0.014926082616342635,0.022727272727272728,0.6165303007003595,2025-06-30
2025-07-04,0,1,C015,paid_social,19634.72,116525,2920,140.0,3.0,11678.800000000001,4303.110000000001,6544.906666666667,6.724219178082192,0.025059000214546236,0.02142857142857143,0.5948034909588729,2025-06-30
2025-07-04,0,1,C016,paid_social,10409.44,54750,1039,95.0,3.0,16955.75,6106.050000000001,3469.8133333333335,10.018710298363812,0.01897716894977169,0.031578947368421054,1.628882053213237,2025-06-30
2025-07-04,0,1,C017,email,2955.66,66466,308,28.0,0.0,0.0,0.0,,9.5962987012987,0.004633948184033942,0.0,0.0,2025-06-30
2025-07-04,0,1,C018,email,1252.44,64966,1158,108.0,10.0,67862.41,27788.9,125.244,1.0815544041450778,0.01782470830896161,0.09259259259259259,54.18416051866756,2025-06-30
